"deployment","site","longitude","latitude","easting","northing"
"hb2007","if41","-83.6276496384867","29.4650925695646","245174.76","3262391.2323"
"hb2008","if41","-83.6276496384867","29.4650925695646","245174.76","3262391.2323"
"hb1","if43","-83.6244643229847","29.4627844546591","245478.01","3262128.3839"
"sb1","of43","-83.7028020201708","29.4702328235628","237897.066","3263128.046"
"sb2","oh41","-83.711836405786","29.4757478666332","237034.8704","3263759.854"
"hb2","if41","-83.6276496384867","29.4650925695646","245174.76","3262391.2323"
"sb3","os43","-83.7127631395347","29.4764468714863","236946.7775","3263839.444"
"hb3","if42","-83.626176787653","29.4652614004515","245318.069","3262406.7241"
"sb4","of43","-83.7028020201708","29.4702328235628","237897.066","3263128.046"
