"deployment","site","sdlNumber","longitude","latitude","easting","northing"
"hb2007","if41","41","-83.6277207891517","29.4655491093429","245169","3262442"
"hb2007","if41","42","-83.6271223783132","29.4651279504853","245226","3262394"
"hb2007","if41","43","-83.6276865305265","29.4646206840248","245170","3262339"
"hb2007","if41","44","-83.6281936130703","29.4650977674533","245122","3262393"
"hb2007","if41","45","-83.6275665518622","29.4651642787726","245183","3262399"
"hb2008","if41","41","-83.627677859904","29.4662264880598","245174.86","3262517"
"hb2008","if41","42","-83.6265183327076","29.4650677165096","245284.45","3262386"
"hb2008","if41","43","-83.6276931510316","29.4640901531401","245168.03","3262280.2"
"hb2008","if41","44","-83.628715610871","29.4651460847082","245071.48","3262399.5"
"hb2008","if41","45","-83.6275711315103","29.4651659923849","245182.56","3262399.2"
"hb1","if43","41","-83.6244666861414","29.4636423485908","245479.925","3262223.4948"
"hb1","if43","42","-83.6235773684158","29.462718177115","245563.893","3262119.0967"
"hb1","if43","43","-83.6253248680443","29.4627726516439","245394.494","3262128.958"
"hb1","if43","44","-83.6244771868898","29.4619342495977","245474.637","3262034.1587"
"hb1","if43","45","-83.6243774228222","29.4628161873677","245486.52","3262131.7117"
"sb1","of43","41","-83.702722545808","29.4711801078505","237907.215","3263232.886"
"sb1","of43","42","-83.7018352635007","29.4702258764347","237990.835","3263125.098"
"sb1","of43","43","-83.702789769167","29.4693758546221","237896.048","3263033.012"
"sb1","of43","44","-83.7036353330516","29.470385905405","237816.619","3263146.895"
"sb1","of43","45","-83.7027127377016","29.4702862421447","237905.865","3263133.767"
"sb2","oh41","41","-83.7118474200986","29.4766941637417","237036.2471","3263864.789"
"sb2","oh41","42","-83.7108939532597","29.4757226324359","237126.2297","3263754.926"
"sb2","oh41","43","-83.7118362962123","29.4748082473869","237032.4532","3263655.684"
"sb2","oh41","44","-83.7127301462407","29.4757418320865","236948.1557","3263761.206"
"sb2","oh41","45","-83.7117526161548","29.4758378188049","237043.231","3263769.637"
"hb2","if41","41","-83.6276846101965","29.4659886949158","245173.61","3262490.6531"
"hb2","if41","42","-83.6267319735001","29.4650657527285","245263.719","3262386.25"
"hb2","if41","43","-83.6274943929807","29.4642478206699","245187.707","3262297.2437"
"hb2","if41","44","-83.6285127009978","29.4651093188859","245091.073","3262394.9796"
"hb2","if41","45","-83.627563158318","29.4651685863055","245183.34","3262399.4701"
"sb3","os43","41","-83.7127477625392","29.4773470546685","236950.596","3263939.207"
"sb3","os43","42","-83.7118873036947","29.4764830382499","237031.8326","3263841.473"
"sb3","os43","43","-83.7128171649847","29.4756983209584","236939.6018","3263756.579"
"sb3","os43","44","-83.7136268170556","29.4764786787878","236863.0775","3263844.924"
"sb3","os43","45","-83.7126862345574","29.476510408303","236954.402","3263846.314"
"hb3","if42","41","-83.62616113735","29.4661628289733","245321.842","3262506.6219"
"hb3","if42","42","-83.6253516522424","29.4652692906723","245398.138","3262405.793"
"hb3","if42","43","-83.6260803051962","29.4643501660421","245325.15","3262305.4938"
"hb3","if42","44","-83.6270628170994","29.4652889153513","245232.181","3262411.7141"
"hb3","if42","45","-83.6261527307465","29.4653694096007","245320.673","3262418.6453"
"sb4","of43","41","-83.702722545808","29.4711801078505","237907.215","3263232.886"
"sb4","of43","42","-83.7018352635007","29.4702258764347","237990.835","3263125.098"
"sb4","of43","43","-83.702789769167","29.4693758546221","237896.048","3263033.012"
"sb4","of43","44","-83.7036353330516","29.470385905405","237816.619","3263146.895"
"sb4","of43","45","-83.7027127377016","29.4702862421447","237905.865","3263133.767"
